dataset_id,species,species_original,species.new,corrected,comment,checked
alston_2021c,Leucas_neuflizeana,Leucas_neuflizeana,Leucas_neuflizeana,0,NA,1
alston_2021c,Lily,Lily,Lily,0,NA,1
alston_2021c,Lippia_javanica,Lippia_javanica,Lippia_javanica,0,NA,1
alston_2021c,Lotononis_platycarpa,Lotononis_platycarpa,Lotononis_platycarpa,0,NA,1
alston_2021c,Lycium_europaeum,Lycium_europaeum,Lycium_europaeum,0,NA,1
alston_2021c,Maerua_angolensis,Maerua_angolensis,Maerua_angolensis,0,NA,1
alston_2021c,Melhania_lumped,Melhania_lumped,Melhania_lumped,0,NA,1
alston_2021c,Melhania_ovata,Melhania_ovata,Melhania_ovata,0,NA,1
alston_2021c,Melhania_velutina,Melhania_velutina,Melhania_velutina,0,NA,1
alston_2021c,Melinis_repens,Melinis_repens,Melinis_repens,0,NA,1
alston_2021c,Microchloa_kunthii,Microchloa_kunthii,Microchloa_kunthii,0,NA,1
alston_2021c,Mollugo_nudicaulis,Mollugo_nudicaulis,Mollugo_nudicaulis,0,NA,1
alston_2021c,Monechma_debile,Monechma_debile,Monechma_debile,0,NA,1
alston_2021c,Monsonia_angustifolia,Monsonia_angustifolia,Monsonia_angustifolia,0,NA,1
alston_2021c,Notonia_abyssinica,Notonia_abyssinica,Notonia_abyssinica,0,NA,1
alston_2021c,Ocimum,Ocimum,Ocimum,0,NA,1
alston_2021c,Ocimum_americanum,Ocimum_americanum,Ocimum_americanum,0,NA,1
alston_2021c,Ocimum_filamentosum,Ocimum_filamentosum,Ocimum_filamentosum,0,NA,1
alston_2021c,Ocimum_kenyense,Ocimum_kenyense,Ocimum_kenyense,0,NA,1
alston_2021c,Opuntia_ficus.indica,Opuntia_ficus.indica,Opuntia_ficus.indica,0,NA,1
alston_2021c,Ornithogalum_tenuifolium,Ornithogalum_tenuifolium,Ornithogalum_tenuifolium,0,NA,1
alston_2021c,Osteospermum_vaillantii,Osteospermum_vaillantii,Osteospermum_vaillantii,0,NA,1
alston_2021c,Oxygonum_sinuatum,Oxygonum_sinuatum,Oxygonum_sinuatum,0,NA,1
alston_2021c,Panicum_atrosanguineum,Panicum_atrosanguineum,Panicum_atrosanguineum,0,NA,1
alston_2021c,Panicum_maximum,Panicum_maximum,Panicum_maximum,0,NA,1
alston_2021c,Pavonia_patens,Pavonia_patens,Pavonia_patens,0,NA,1
alston_2021c,Pelargonium_alchemilloides,Pelargonium_alchemilloides,Pelargonium_alchemilloides,0,NA,1
alston_2021c,Pelargonium_whytei,Pelargonium_whytei,Pelargonium_whytei,0,NA,1
alston_2021c,Pellaea_calomelanos,Pellaea_calomelanos,Pellaea_calomelanos,0,NA,1
alston_2021c,Pennisetum_mezianum,Pennisetum_mezianum,Pennisetum_mezianum,0,NA,1
alston_2021c,Pennisetum_stramineum,Pennisetum_stramineum,Pennisetum_stramineum,0,NA,1
alston_2021c,Pentanisia_ouranogyne,Pentanisia_ouranogyne,Pentanisia_ouranogyne,0,NA,1
alston_2021c,Peponium_vogelii,Peponium_vogelii,Peponium_vogelii,0,NA,1
alston_2021c,Phyllanthus_maderaspatensis,Phyllanthus_maderaspatensis,Phyllanthus_maderaspatensis,0,NA,1
alston_2021c,Phyllanthus_odontadenius,Phyllanthus_odontadenius,Phyllanthus_odontadenius,0,NA,1
alston_2021c,Phyllanthus_sepialis,Phyllanthus_sepialis,Phyllanthus_sepialis,0,NA,1
alston_2021c,Plectranthus_caninus,Plectranthus_caninus,Plectranthus_caninus,0,NA,1
alston_2021c,Plectranthus_comosus,Plectranthus_comosus,Plectranthus_comosus,0,NA,1
alston_2021c,Plectranthus_cylindraceus,Plectranthus_cylindraceus,Plectranthus_cylindraceus,0,NA,1
alston_2021c,Plectranthus_montanus,Plectranthus_montanus,Plectranthus_montanus,0,NA,1
alston_2021c,Plectranthus_montanus_&_Plectranthus_cylindraceus_&_Plectranthus_caninus,Plectranthus_montanus_&_Plectranthus_cylindraceus_&_Plectranthus_caninus,Plectranthus_montanus_&_Plectranthus_cylindraceus_&_Plectranthus_caninus,0,NA,1
alston_2021c,Plectranthus_prostratus,Plectranthus_prostratus,Plectranthus_prostratus,0,NA,1
alston_2021c,Plectranthus_pubescens,Plectranthus_pubescens,Plectranthus_pubescens,0,NA,1
alston_2021c,Pollichia_campestris,Pollichia_campestris,Pollichia_campestris,0,NA,1
alston_2021c,Polygala_sphenoptera,Polygala_sphenoptera,Polygala_sphenoptera,0,NA,1
alston_2021c,Portulaca_foliosa,Portulaca_foliosa,Portulaca_foliosa,0,NA,1
alston_2021c,Portulaca_oleracea,Portulaca_oleracea,Portulaca_oleracea,0,NA,1
alston_2021c,Portulaca_parensis,Portulaca_parensis,Portulaca_parensis,0,NA,1
alston_2021c,Portulaca_quadrifida,Portulaca_quadrifida,Portulaca_quadrifida,0,NA,1
alston_2021c,Priva_curtisiae,Priva_curtisiae,Priva_curtisiae,0,NA,1
alston_2021c,Psilotrichum_elliotii,Psilotrichum_elliotii,Psilotrichum_elliotii,0,NA,1
alston_2021c,Pupalia_lappacea,Pupalia_lappacea,Pupalia_lappacea,0,NA,1
alston_2021c,Pupalia_lappacea_&_Psilotrichum_elliotii,Pupalia_lappacea_&_Psilotrichum_elliotii,Pupalia_lappacea_&_Psilotrichum_elliotii,0,NA,1
alston_2021c,Rhus_natalensis,Rhus_natalensis,Rhus_natalensis,0,NA,1
alston_2021c,Ruellia_patula,Ruellia_patula,Ruellia_patula,0,NA,1
alston_2021c,Ruellia_patula_&_Ruellia_prostrata,Ruellia_patula_&_Ruellia_prostrata,Ruellia_patula_&_Ruellia_prostrata,0,NA,1
alston_2021c,Ruellia_prostrata,Ruellia_prostrata,Ruellia_prostrata,0,NA,1
alston_2021c,Sansevieria,Sansevieria,Sansevieria,0,NA,1
alston_2021c,Sansevieria_robusta,Sansevieria_robusta,Sansevieria_robusta,0,NA,1
alston_2021c,Sansevieria_suffruticosa,Sansevieria_suffruticosa,Sansevieria_suffruticosa,0,NA,1
alston_2021c,Schkuhria_pinnata,Schkuhria_pinnata,Schkuhria_pinnata,0,NA,1
alston_2021c,Setaria_verticillata,Setaria_verticillata,Setaria_verticillata,0,NA,1
alston_2021c,Sida,Sida,Sida,0,NA,1
alston_2021c,Sida_ovata,Sida_ovata,Sida_ovata,0,NA,1
alston_2021c,Sida_rhombifolia,Sida_rhombifolia,Sida_rhombifolia,0,NA,1
alston_2021c,Solanecio_angulatus,Solanecio_angulatus,Solanecio_angulatus,0,NA,1
alston_2021c,Solanum_campylacanthum,Solanum_campylacanthum,Solanum_campylacanthum,0,NA,1
alston_2021c,Solanum_coagulans,Solanum_coagulans,Solanum_coagulans,0,NA,1
alston_2021c,Sporobolus_africanus,Sporobolus_africanus,Sporobolus_africanus,0,NA,1
alston_2021c,Sporobolus_festivus,Sporobolus_festivus,Sporobolus_festivus,0,NA,1
