"park","plot","visit","genus_species","tag_no","height_m","fire_scar","dbh1","dbh2","dbh3","dbh4","dbh5","dbh6","dbh7","dbh8","dbh9","is_the_tree_dead"
"Kakadu","1","T5","Sesbania formosa","36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Glochidion sumatranum","42",15,"1",28.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Sesbania formosa","44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","49",15,"1",14.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Sesbania formosa","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","60",2,"1",13.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","64",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","74",8,"1",12.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Glochidion sumatranum","79",NA,"5",20.4,13.5,NA,NA,NA,NA,NA,NA,NA,TRUE
"Kakadu","1","T5","Timonius timon","80",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","83",16,"1",30,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","84",18,"1",34.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","85",20,"1",33.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","86",15,"1",28.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","87",20,"1",29.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","89",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Syzygium nervosum","90",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","91",NA,"1",18,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Sesbania formosa","92",5.5,"2",6.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","93",8,"2",37.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","94",8,"4",13.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Sesbania formosa","95",5,"2",11.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Glochidion sumatranum","96",3.5,"1",5.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","97",5,"1",7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Clerodendrum costatum","98",7,"1",11.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Glochidion sumatranum","99",6,"1",6.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Carallia brachiata","100",4.5,"1",6.1,6.5,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","101",10,"1",6.5,29,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","102",3,"1",34.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Pandanus spiralis","103",4,"1",10,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","104",6,"1",36.4,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","105",9,"1",20,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","106",3,"1",17.6,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Terminalia microcarpa","107",12,"1",18.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","108",NA,"1",32.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Glochidion sumatranum","109",3.5,"1",6.9,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","110",2.5,"1",27.8,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Timonius timon","111",12,"1",23.7,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","112",5,"1",37.2,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","113",4,"1",26.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Kakadu","1","T5","Livistona mariae subsp. rigida","114",2,"1",23.3,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
