YEAR,SQUARE  ,SITE_ID,SAMPLE_DATE,WATER_WIDTH,DEPTH1,DEPTH2,DEPTH3,SURF_VEL_CAT,SAMPLING_TIME,METHOD,ROCK_PAVEMT,BOULDER_COBBLE,PEBBLE_GRAVEL,SAND,SILT_CLAY,LC07,LC07_NUM,EZ_DESC_07,COUNTRY,COUNTY07
2007,XXFYMD,1,28-Aug-07,2,15,15,12,2,,1,0,75,25,0,0,23s,31,True uplands (Scotland),SCO,Highland
2007,HDPVAL,1,25-Aug-07,0.1,1,2,1,1,,16,0,0,0,0,100,24s,32,True uplands (Scotland),SCO,Highland
2007,GXDBED,1,21-Aug-07,1.5,10,25,55,2,,1,0,80,20,0,0,23s,31,True uplands (Scotland),SCO,Aberdeenshire
2007,WDGZFA,1,26-Jul-07,0.4,15,15,15,2,4,1,0,0,100,0,0,23s,31,True uplands (Scotland),SCO,Aberdeenshire
2007,KOQHZQ,1,22-Sep-07,0.75,5,10,5,2,,1,0,5,45,50,0,26s,34,Lowlands (Scotland),SCO,Aberdeenshire
2007,OBNMHM,1,07-Oct-07,1.1,11,16,5,1,,1,0,50,50,0,0,23s,31,True uplands (Scotland),SCO,Highland
2007,UXXKAG,1,23-Jul-07,0.9,50,50,50,1,4,1,0,60,40,0,0,22s,30,True uplands (Scotland),SCO,Aberdeenshire
2007,NDDDBT,1,14-Aug-07,,35,35,35,2,4,1,0,0,100,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,KPHKQI,1,20-Jun-07,1,5,10,5,2,4,1,50,100,0,0,0,24s,32,True uplands (Scotland),SCO,Highland
2007,OHLVGM,1,19-Jun-07,3.8,10,10,5,2,4,1,0,60,35,5,0,21s,29,True uplands (Scotland),SCO,Highland
2007,TBRBZK,1,21-Jun-07,0.66,5,10,5,1,4,1,0,10,90,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,CHTONI,1,19-Sep-07,1.75,12,20,5,3,,1,5,65,35,0,0,23s,31,True uplands (Scotland),SCO,Aberdeenshire
2007,VDMHHE,1,17-Sep-07,0.3,2,3,1,1,,1,0,0,90,10,0,25s,33,Lowlands (Scotland),SCO,Aberdeenshire
2007,HPLWER,1,11-Aug-07,,5,15,20,2,4,1,0,75,25,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,YCZHUL,1,21-Jul-07,,2,10,15,2,4,1,0,0,100,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,LXSSXH,1,19-Jul-07,1,15,15,25,1,4,1,0,100,0,0,0,29s,37,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,OTMPPX,1,23-Jun-07,1.5,10,20,15,2,4,1,0,75,25,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,FMFSCG,1,26-Jun-07,1,15,20,5,3,4,1,0,40,60,0,0,24s,32,True uplands (Scotland),SCO,Highland
2007,OJWELS,1,26-Jun-07,1,15,15,10,1,4,1,0,65,35,0,0,24s,32,True uplands (Scotland),SCO,Highland
2007,MSRUTP,1,03-Oct-07,1.15,38,53,50,1,,1,0,0,70,0,30,22s,30,True uplands (Scotland),SCO,Highland
2007,KKXZXW,1,19-Sep-07,1.5,3,5,3,3,,1,0,50,40,10,0,22s,30,True uplands (Scotland),SCO,Moray
2007,CMBROG,1,31-May-07,1.2,25,25,40,4,4,1,0,50,50,0,0,22s,30,True uplands (Scotland),SCO,Aberdeenshire
2007,XNMVMF,1,25-Sep-07,1.7,25,30,25,1,,1,0,0,10,90,0,27s,35,Lowlands (Scotland),SCO,Aberdeenshire
2007,FALEKI,1,04-Jul-07,0.55,13,10,13,3,4,1,60,95,5,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,CRWYWA,1,05-Jun-07,4,25,30,40,,4,1,0,100,0,0,0,21s,29,True uplands (Scotland),SCO,Highland
2007,EPDZLB,1,07-Sep-07,1,20,20,20,2,4,1,0,60,20,20,0,25s,33,Lowlands (Scotland),SCO,Highland
2007,AQLJEH,1,09-Sep-07,0.5,10,10,10,2,4,1,0,40,50,10,0,28s,36,Intermediate uplands and Islands (Scotland),SCO,Highland
2007,EPCXUG,1,05-Oct-07,1,3,20,10,1,,1,0,10,10,80,0,25s,33,Lowlands (Scotland),SCO,Moray
2007,GAEJTI,1,05-Oct-07,1.75,12,20,30,2,,1,0,0,70,10,20,25s,33,Lowlands (Scotland),SCO,Aberdeenshire
2007,GCKECU,1,07-Oct-07,0.75,13,14,10,3,,1,0,0,60,5,35,26s,34,Lowlands (Scotland),SCO,Aberdeenshire
2007,KKQPEW,1,09-Aug-07,,15,15,5,2,4,1,0,0,0,100,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Eilean Siar
2007,JNFHMV,1,06-Jul-07,3,20,30,20,4,4,1,0,100,0,0,0,30s,38,Intermediate uplands and Islands (Scotland),SCO,Highland
