Date	Site	Exposure	Transect #	Tidal Height	Acrosiphonia spp	Ahnfeltia pacifica	Alaria marginata	Analipus japonicus	Chondracanthus exasperatus	Cladophora spp	Codium fragile	Copamania spp	Corallina vancouveriensis	Egregia menziesii	Encrusting coralline algae	Endocladia muricata	Enteromorpha intestinalis	Filamentous rhodophyta	Fucus spp	Gastroclonium coulteri	Halosaccion glandiforme	Hedophyllum sessile	Laminaria setchelli	Leathesia difformis	Mastocarpus papillatus	Mazzaella splendens	Microcladia borealis	Microcladia coulteri	Nemalion spp	Neorhodomela larix	Odonthalia floccosa	Pelvitiopsis spp	Petrocelis middendorfii	Phyllospadix scouleri	Porphyra spp	Prasiola spp	Prionitis spp	Sargassum muticum	Scytosiphon lomentaria	Ulva spp	Bare rock
"2-Aug-97"	"Wizard"	"Exposed"	"7"	1.5	0	0	0	0	0	10	0	0	20	0	0	0	0	20	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
"2-Aug-97"	"Wizard"	"Exposed"	"7"	2	0	0	0	0	0	10	0.5	0	0.5	0	15	0	0	10	43	0	0	0	0	10	30	0	0	0	0.5	0	0	0	15	0	0.5	0	0	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"7"	2.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	15	28	0	5	0	0	0	5	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	10	0
"2-Aug-97"	"Wizard"	"Exposed"	"7"	3	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"7"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	0.5	0	0	19	0	0	0	0	0	10	81	20	0	0	10	0.5	0	0	0	0	0	5	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	1	0	0	0	0	10	0	0	0	0.5	100	10	0	0	10	0	0	0	0	0	0	20	0	0.5	0	0	0	0	0	10	0	0	0	30	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	1.5	0	0	0	0	0	10	0.5	0	0.5	0	25	0	0	0	91	0	0	0	0	0	20	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	2	0	0	0	0	0	45	0	0	10	0	0.5	0	0	0	37	0	5	0	0	0	10	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	2.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"8"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"9"	0.5	0	0	0	0	0	0	0	0	0.5	9	40	0	0	0	0	0	0	0	0	0	0	60	0	0.5	0	0	0	0	0	0	0	0	40	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"9"	1	0	0	15	0	0	0	0	0	0	85	35	0	0	20	0	0	0	0	0	0	5	15	0	10	0	0	0	0	5	0	0	0	30	0	0	0.5	0
"2-Aug-97"	"Wizard"	"Exposed"	"9"	1.5	0	0	0	0	0	10	0	0	15	16	5	0	0	10	38	0	5	0	0	0	55	0	0	0	0	0	0	0	10	0	0	0	5	0	0	10	0
"2-Aug-97"	"Wizard"	"Exposed"	"9"	2	0	0	0	0	0	15	0	0	5	0	10	0	0	10	44	0	5	0	0	0	15	0	0	0	0	0	0	0	20	0	0	0	0	0	0	15	0
"2-Aug-97"	"Wizard"	"Exposed"	"9"	2.5	0	0	0	0	0	0	0	0	0	0	0	0	0	10	21	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0
"2-Aug-97"	"Wizard"	"Exposed"	"9"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
